town,year,total2012
Morrison,2012,4052
Morrisonville,2012,986
Morton,2012,16255
Morton Grove,2012,23194
Mound City,2012,791
Mounds,2012,984
Mound Station,2012,95
Mount Auburn,2012,458
Mount Carmel,2012,7276
Mount Carroll,2012,1944
Mount Clare,2012,313
Mount Erie,2012,128
Mount Morris,2012,3060
Mount Olive,2012,2150
Mount Prospect,2012,54144
Mount Pulaski,2012,1253
Mount Sterling,2012,2369
Mount Vernon,2012,15051
Mount Zion,2012,5703
Moweaqua,2012,1848
Muddy,2012,37
Mulberry Grove,2012,788
Mulkeytown,2012,101
Muncie,2012,90
Mundelein,2012,31506
Murphysboro,2012,8166
Murrayville,2012,596
Naperville,2012,142143
Naplate,2012,491
Naples,2012,49
Nashville,2012,3379
Nason,2012,191
Nauvoo,2012,1189
Nebo,2012,497
Nelson,2012,282
Neoga,2012,1845
Neponset,2012,480
Newark,2012,932
New Athens,2012,2170
New Baden,2012,3205
New Bedford,2012,73
New Berlin,2012,1281
New Boston,2012,843
New Burnside,2012,147
New Canton,2012,364
New Douglas,2012,377
New Grand Chain,2012,227
New Haven,2012,443
New Holland,2012,199
New Lenox,2012,24369
Newman,2012,850
New Milford,2012,790
New Minden,2012,167
New Salem,2012,142
Newton,2012,2835
Niantic,2012,758
Niles,2012,29720
Nilwood,2012,211
Noble,2012,623
Nokomis,2012,2347
Nora,2012,87
Normal,2012,52986
Norridge,2012,14656
Norris,2012,260
Norris City,2012,1272
North Aurora,2012,16231
North Barrington,2012,3313
Northbrook,2012,33095
North Chicago,2012,31677
North City,2012,770
Northfield,2012,5234
North Henderson,2012,209
Northlake,2012,12287
North Pekin,2012,1643
North Riverside,2012,6920
North Utica,2012,1186
Norwood,2012,407
Oak Brook,2012,7905
Oakbrook Terrace,2012,2205
Oakdale,2012,272
Oakford,2012,312
Oak Forest,2012,27922
Oak Grove,2012,635
Oakland,2012,704
Oak Lawn,2012,56524
Oak Park,2012,51781
Oak Run,2012,417
Oakwood,2012,1668
Oakwood Hills,2012,2266
Oblong,2012,1484
Oconee,2012,172
Odell,2012,1072
Odin,2012,1114
O'Fallon,2012,28377
Ogden,2012,734
Oglesby,2012,3645
Ohio,2012,483
Ohlman,2012,97
Okawville,2012,1387
Old Mill Creek,2012,144
Old Ripley,2012,105
Old Shawneetown,2012,200
Olive Branch,2012,802
Olivet,2012,383
Olmsted,2012,433
Olney,2012,9032
Olympia Fields,2012,4823
Omaha,2012,242
Onarga,2012,1378
Oneida,2012,782
Opdyke,2012,357
Oquawka,2012,1201
Orangeville,2012,881
Oreana,2012,1080
Oregon,2012,3671
Orient,2012,341
Orion,2012,1934
Orland Hills,2012,7118
Orland Park,2012,56607
Oswego,2012,30302
Ottawa,2012,19258
Otterville,2012,94
Owaneco,2012,157
Paderborn,2012,40
Palatine,2012,68338
Palestine,2012,1526
Palmer,2012,226
Palmyra,2012,689
Palos Heights,2012,12446
Palos Hills,2012,17458
Palos Park,2012,4805
Pana,2012,5850
Panama,2012,180
Panola,2012,51
Papineau,2012,232
Paris,2012,8896
Park City,2012,7383
Parkersburg,2012,249
Park Forest,2012,22424
Park Ridge,2012,37266
Patoka,2012,642
Pawnee,2012,2680
Paw Paw,2012,962
Paxton,2012,4393
Payson,2012,1213
Pearl,2012,178
Pearl City,2012,878
Pecatonica,2012,2238
Pekin,2012,33700
Penfield,2012,156
Peoria,2012,114754
Peoria Heights,2012,6216
Peotone,2012,4703
Percy,2012,861
Perry,2012,409
Peru,2012,10189
Pesotum,2012,516
Petersburg,2012,2234
Phillipstown,2012,69
Philo,2012,1569
Phoenix,2012,1889
Pierron,2012,488
Pinckneyville,2012,5631
Pingree Grove,2012,4425
Piper City,2012,754
Pistakee Highlands,2012,3154
Pittsburg,2012,730
Pittsfield,2012,4754
Plainfield,2012,39030
Plainville,2012,350
Plano,2012,10602
Plattville,2012,233
Pleasant Hill,2012,1327
Pleasant Plains,2012,883
Plymouth,2012,458
Pocahontas,2012,732
Polo,2012,2410
Pontiac,2012,12210
Pontoon Beach,2012,5790
Pontoosuc,2012,103
Poplar Grove,2012,5879
Port Barrington,2012,1610
Port Byron,2012,1720
Posen,2012,5975
Potomac,2012,900
Prairie City,2012,542
Prairie du Rocher,2012,512
Prairie Grove,2012,1787
Prestbury,2012,1822
Preston Heights,2012,2777
Princeton,2012,7831
Princeville,2012,2096
Prophetstown,2012,2133
Prospect Heights,2012,16228
Pulaski,2012,224
Quincy,2012,40647
Radom,2012,211
Raleigh,2012,315
Ramsey,2012,1111
Rankin,2012,501
Ransom,2012,374
Rantoul,2012,12880
Rapids City,2012,856
Raritan,2012,125
Raymond,2012,905
Red Bud,2012,3670
Reddick,2012,293
Redmon,2012,194
Rentchler,2012,0
Reynolds,2012,573
Richmond,2012,2092
Richton Park,2012,13568
Richview,2012,205
Ridge Farm,2012,936
Ridgway,2012,817
Ridott,2012,134
Ringwood,2012,833
Rio,2012,210
Ripley,2012,59
Riverdale,2012,13552
River Forest,2012,11174
River Grove,2012,10224
Riverside,2012,8859
Riverton,2012,3451
Riverwoods,2012,3854
Roanoke,2012,2025
Robbins,2012,5132
Roberts,2012,314
Robinson,2012,7656
Rochelle,2012,9578
Rochester,2012,3712
Rockbridge,2012,214
Rock City,2012,316
Rockdale,2012,1909
Rock Falls,2012,9075
Rockford,2012,152948
Rock Island,2012,38808
Rock Island Arsenal,2012,130
Rockton,2012,7370
Rockwood,2012,83
Rolling Meadows,2012,23645
Rome,2012,1614
Romeoville,2012,39175
Roodhouse,2012,1833
Roscoe,2012,10679
Rose Hill,2012,91
Roselle,2012,22814
Rosemont,2012,3499
Roseville,2012,1045
Rosewood Heights,2012,4058
Rosiclare,2012,1102
Rossville,2012,1383
Round Lake,2012,17773
Round Lake Beach,2012,28133
Round Lake Heights,2012,2818
Round Lake Park,2012,7382
Roxana,2012,1572
Royal,2012,252
Royal Lakes,2012,225
Royalton,2012,1122
Ruma,2012,339
Rushville,2012,3405
Russellville,2012,51
Rutland,2012,302
Sadorus,2012,564
Sailor Springs,2012,113
St. Anne,2012,1369
St. Augustine,2012,118
St. Charles,2012,33046
St. David,2012,432
St. Elmo,2012,1558
Ste. Marie,2012,257
St. Francisville,2012,654
