long,lat,order,hole,piece,id,group,STATEFP10,PLACEFP10,PLACENS10,NAME10,PLACE,NAME,cycle_total,cycle_fatal,cycle_inj,ped_total,ped_fatal,ped_inj,total_crashes,total_inj,total_fatal,popAvg
-87.978699,41.912786,80,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.983566,41.912717,81,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.983399,41.90853,82,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.986377,41.909978,83,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.992093,41.909214,84,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.99344,41.905173,85,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.999053,41.905038,86,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.999345,41.906922,87,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.997961,41.907386,88,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.007981,41.910016,89,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.008465,41.919304,90,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.01307,41.919272,91,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.012966,41.915529,92,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.021788,41.915422,93,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.020265,41.913722,94,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.025246,41.915295,95,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.025177,41.911317,96,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.027542,41.911339,97,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.027567,41.907629,98,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.032661,41.906772,99,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.037211,41.907941,100,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
