town,year,pop2015
Mounds,2015,1131
Mound Station,2015,165
Mount Auburn,2015,535
Mount Carmel,2015,7098
Mount Carroll,2015,1685
Mount Clare,2015,206
Mount Erie,2015,87
Mount Morris,2015,2997
Mount Olive,2015,2090
Mount Prospect,2015,54710
Mount Pulaski,2015,1336
Mount Sterling,2015,2080
Mount Vernon,2015,15136
Mount Zion,2015,6118
Moweaqua,2015,1776
Muddy,2015,39
Mulberry Grove,2015,662
Mulkeytown,2015,151
Muncie,2015,193
Mundelein,2015,31624
Murphysboro,2015,8055
Murrayville,2015,472
Naperville,2015,145058
Naplate,2015,438
Naples,2015,48
Nashville,2015,3265
Nason,2015,241
Nauvoo,2015,1362
Nebo,2015,310
Nelson,2015,153
Neoga,2015,1602
Neponset,2015,603
Newark,2015,1131
New Athens,2015,2072
New Baden,2015,3432
New Bedford,2015,67
New Berlin,2015,1501
New Boston,2015,698
New Burnside,2015,205
New Canton,2015,364
New Douglas,2015,355
New Grand Chain,2015,173
New Haven,2015,373
New Holland,2015,179
New Lenox,2015,25024
Newman,2015,916
New Milford,2015,791
New Minden,2015,233
New Salem,2015,129
Newton,2015,2818
Niantic,2015,628
Niles,2015,29955
Nilwood,2015,223
Noble,2015,574
Nokomis,2015,2294
Nora,2015,113
Normal,2015,54488
Norridge,2015,14856
Norris,2015,172
Norris City,2015,1358
North Aurora,2015,17154
North Barrington,2015,3032
Northbrook,2015,33572
North Chicago,2015,29925
North City,2015,834
Northfield,2015,5305
North Henderson,2015,184
Northlake,2015,12353
North Pekin,2015,1480
North Riverside,2015,6991
North Utica,2015,1401
Norwood,2015,491
Oak Brook,2015,7977
Oakbrook Terrace,2015,2252
Oakdale,2015,189
Oakford,2015,335
Oak Forest,2015,28134
Oak Grove,2015,762
Oakland,2015,910
Oak Lawn,2015,56980
Oak Park,2015,52080
Oak Run,2015,499
Oakwood,2015,1650
Oakwood Hills,2015,2152
Oblong,2015,1472
Oconee,2015,199
Odell,2015,1000
Odin,2015,1052
O'Fallon,2015,29144
Ogden,2015,740
Oglesby,2015,3880
Ohio,2015,424
Ohlman,2015,110
Okawville,2015,1460
Old Mill Creek,2015,152
Old Ripley,2015,100
Old Shawneetown,2015,174
Olive Branch,2015,698
Olivet,2015,319
Olmsted,2015,422
Olney,2015,9085
Olympia Fields,2015,4916
Omaha,2015,308
Onarga,2015,1381
Oneida,2015,776
Opdyke,2015,339
Oquawka,2015,1367
Orangeville,2015,929
Oreana,2015,885
Oregon,2015,3715
Orient,2015,358
Orion,2015,2011
Orland Hills,2015,7259
Orland Park,2015,58273
Oswego,2015,32468
Ottawa,2015,18565
Otterville,2015,99
Owaneco,2015,183
Paderborn,2015,36
Palatine,2015,69188
Palestine,2015,1375
Palmer,2015,135
Palmyra,2015,584
Palos Heights,2015,12566
Palos Hills,2015,17596
Palos Park,2015,4944
Pana,2015,5684
Panama,2015,262
Panola,2015,53
Papineau,2015,306
Paris,2015,8517
Park City,2015,7432
Parkersburg,2015,147
Park Forest,2015,21928
Park Ridge,2015,37608
Patoka,2015,529
Pawnee,2015,2730
Paw Paw,2015,797
Paxton,2015,4252
Payson,2015,1261
Pearl,2015,250
Pearl City,2015,884
Pecatonica,2015,2234
Pekin,2015,33905
Penfield,2015,159
Peoria,2015,115847
Peoria Heights,2015,6046
