town,town2,year,cycle_total,cycle_fatal,cycle_inj,ped_total,ped_fatal,ped_inj,total_crashes,total_inj,total_fatal,pop,cycle_rate,ped_rate,total_rate
Channahon,Channahon,2012,,,,2,0,2,2,2,0,"12,377",0,0.16,0.16
Channahon,Channahon,2015,,,,1,0,1,1,1,0,"12,845",0,0.08,0.08
Chicago,Chicago,2012,1597,8,1495,2867,46,2750,4464,4245,54,"2,702,471",0.59,1.06,1.65
Chicago,Chicago,2013,1730,3,1574,2796,28,2622,4526,4196,31,"2,706,101",0.64,1.03,1.67
Chicago,Chicago,2014,1654,6,1525,2655,35,2483,4309,4008,41,"2,712,608",0.61,0.98,1.59
Chicago,Chicago,2015,1737,8,1659,2921,44,2727,4658,4386,52,"2,717,534",0.64,1.07,1.71
Chicago Heights,Chicago Hts,2012,11,0,11,16,1,15,27,26,1,"30,328",0.36,0.53,0.89
Chicago Heights,Chicago Hts,2013,8,0,8,19,2,17,27,25,2,"30,340",0.26,0.63,0.89
Chicago Heights,Chicago Hts,2014,4,0,4,17,1,16,21,20,1,"30,410",0.13,0.56,0.69
Chicago Heights,Chicago Hts,2015,2,0,2,14,3,10,16,12,3,"30,428",0.07,0.46,0.53
Chicago Ridge,Chicago Ridge,2012,1,0,1,4,0,3,5,4,0,"14,303",0.07,0.28,0.35
Chicago Ridge,Chicago Ridge,2013,4,0,4,5,0,5,9,9,0,"14,363",0.28,0.35,0.63
Chicago Ridge,Chicago Ridge,2014,2,0,1,2,0,2,4,3,0,"14,410",0.14,0.14,0.28
Chicago Ridge,Chicago Ridge,2015,2,0,2,,,,2,2,0,"14,407",0.14,0,0.14
Cicero,Cicero,2012,22,1,19,52,2,48,74,67,3,"83,756",0.26,0.62,0.88
Cicero,Cicero,2013,38,0,35,46,1,39,84,74,1,"83,930",0.45,0.55,1
Cicero,Cicero,2014,27,0,27,47,0,45,74,72,0,"84,423",0.32,0.56,0.88
Cicero,Cicero,2015,36,0,36,53,0,51,89,87,0,"84,361",0.43,0.63,1.05
Clarendon Hills,Clarendon Hills,2012,1,0,1,2,0,2,3,3,0,"8,434",0.12,0.24,0.36
Clarendon Hills,Clarendon Hills,2013,3,0,3,1,0,1,4,4,0,"8,498",0.35,0.12,0.47
Clarendon Hills,Clarendon Hills,2014,,,,1,0,1,1,1,0,"8,548",0,0.12,0.12
Clarendon Hills,Clarendon Hills,2015,1,0,1,1,0,1,2,2,0,"8,609",0.12,0.12,0.23
Country Club Hills,Country Club Hills,2012,1,0,1,3,0,3,4,4,0,"16,540",0.06,0.18,0.24
