town,year,total2013
Vandalia,2013,6282
Varna,2013,375
Venedy,2013,110
Venetian Village,2013,2673
Venice,2013,1697
Vergennes,2013,314
Vermilion,2013,198
Vermont,2013,766
Vernon,2013,102
Vernon Hills,2013,25325
Verona,2013,241
Versailles,2013,456
Victoria,2013,313
Vienna,2013,1428
Villa Grove,2013,2301
Villa Park,2013,22023
Viola,2013,1021
Virden,2013,3619
Virgil,2013,446
Virginia,2013,1443
Volo,2013,3181
Wadsworth,2013,3728
Waggoner,2013,176
Walnut,2013,1593
Walnut Hill,2013,59
Walshville,2013,42
Waltonville,2013,430
Wamac,2013,1491
Wapella,2013,612
Warren,2013,1565
Warrensburg,2013,1172
Warrenville,2013,13384
Warsaw,2013,1609
Washburn,2013,1141
Washington,2013,15362
Washington Park,2013,4176
Wataga,2013,794
Waterloo,2013,10015
Waterman,2013,1459
Watseka,2013,5424
Watson,2013,746
Wauconda,2013,13425
Waukegan,2013,88560
Waverly,2013,1445
Wayne,2013,2547
Wayne City,2013,1171
Waynesville,2013,512
Weldon,2013,356
Wellington,2013,288
Wenona,2013,1167
Wenonah,2013,19
West Brooklyn,2013,161
Westchester,2013,16742
West Chicago,2013,27286
West City,2013,741
West Dundee,2013,7331
Western Springs,2013,13008
Westervelt,2013,102
Westfield,2013,645
West Frankfort,2013,8186
Westmont,2013,24943
West Peoria,2013,4471
West Point,2013,242
West Salem,2013,982
West Union,2013,365
Westville,2013,3119
West York,2013,86
Wheaton,2013,53245
Wheeler,2013,124
Wheeling,2013,37764
Whiteash,2013,304
White City,2013,200
White Hall,2013,2688
White Heath,2013,220
Williamsfield,2013,671
Williamson,2013,234
Williamsville,2013,1596
Willisville,2013,476
Willowbrook,2013,8599
Willow Hill,2013,279
Willow Springs,2013,5583
Wilmette,2013,27268
Wilmington,2013,6028
Wilsonville,2013,519
Winchester,2013,1632
Windsor,2013,926
Windsor,2013,1401
Winfield,2013,9280
Winnebago,2013,3286
Winnetka,2013,12273
Winslow,2013,225
Winthrop Harbor,2013,6742
Witt,2013,866
Wonder Lake,2013,3704
Wood Dale,2013,13823
Woodhull,2013,884
Woodland,2013,306
Woodlawn,2013,687
Woodridge,2013,33119
Wood River,2013,10562
Woodson,2013,490
Woodstock,2013,24926
Worden,2013,1063
Worth,2013,10805
Wyanet,2013,1065
Wyoming,2013,1489
Xenia,2013,540
Yale,2013,80
Yates City,2013,883
Yorkville,2013,17513
Zeigler,2013,1906
Zion,2013,24400
